node_id,lat,lon
488,38.8941955,-77.0729357
489,38.8942023,-77.0729411
490,38.8942093,-77.072946
491,38.8942242,-77.0729563
492,38.8942702,-77.0729785
493,38.8943251,-77.0729996
494,38.8946734,-77.0730954
495,38.8947474,-77.0731135
496,38.8968235,-77.0733904
497,38.8970583,-77.0734197
498,38.8971081,-77.0734259
499,38.897227,-77.0734396
500,38.8977201,-77.0734964
501,38.8980889,-77.0735389
502,38.8981014,-77.0735404
503,38.8983453,-77.073569
504,38.8984425,-77.0735815
505,38.8985312,-77.0735911
506,38.8989123,-77.0736326
507,38.8870366,-77.0747659
508,38.8871121,-77.0746362
509,38.8871454,-77.0745468
510,38.8871532,-77.0744574
511,38.8871072,-77.0740294
512,38.887117,-77.0739337
513,38.8871503,-77.0738871
514,38.8872042,-77.0738506
515,38.8872738,-77.0738443
516,38.8875207,-77.073877
517,38.8875677,-77.0739098
518,38.8875942,-77.0739702
519,38.8876089,-77.0740382
520,38.8875655,-77.0745723
521,38.8875181,-77.0751569
522,38.8875032,-77.0753324
523,38.8921956,-77.0751191
524,38.8921679,-77.0754176
525,38.8921773,-77.0758484
526,38.892138,-77.076353
527,38.8921028,-77.0765041
528,38.8920997,-77.0765374
529,38.8920898,-77.0766519
530,38.8920487,-77.077136
531,38.8920458,-77.0771735
532,38.8920373,-77.0772625
533,38.8920282,-77.0773609
534,38.8920128,-77.0775913
535,38.8920088,-77.0776407
536,38.8919726,-77.0780722
537,38.8919574,-77.0782735
538,38.8919494,-77.0783946
539,38.891944,-77.0784807
540,38.8919348,-77.0785737
541,38.8919286,-77.0786463
542,38.8919152,-77.0787974
543,38.8918906,-77.0791015
544,38.8918877,-77.0791376
545,38.8918698,-77.0792811
546,38.8918542,-77.0794084
547,38.8918519,-77.079451
548,38.8918506,-77.0794752
549,38.8918467,-77.0795283
550,38.8918338,-77.0796741
551,38.8918287,-77.0797402
552,38.8918143,-77.0799251
553,38.8917981,-77.0801099
554,38.8917707,-77.0804574
555,38.8917653,-77.080529
556,38.8917428,-77.0808201
557,38.8917372,-77.0808816
558,38.8917292,-77.0809725
559,38.9000295,-77.0785996
560,38.9002757,-77.078586
561,38.9005153,-77.0785728
562,38.8902149,-77.0714746
563,38.8902147,-77.0715526
564,38.8902132,-77.0715905
565,38.8902001,-77.0717608
566,38.8901883,-77.0719315
567,38.8901762,-77.0720873
568,38.890848,-77.0771104
569,38.8908073,-77.0772578
570,38.890803,-77.0772729
571,38.8907952,-77.0772975
572,38.8907878,-77.0773201
573,38.8907813,-77.0773392
574,38.8907731,-77.0773639
575,38.8907652,-77.0773867
576,38.8907583,-77.0774061
577,38.8907504,-77.0774288
578,38.8907422,-77.077451
579,38.8907261,-77.0774937
580,38.8906943,-77.0775736
581,38.8906426,-77.0776959
582,38.8905613,-77.0778751
583,38.890476,-77.0780583
584,38.8904166,-77.0781859
585,38.8903995,-77.0782211
586,38.890393,-77.078235
587,38.8903886,-77.0782455
588,38.8903817,-77.0782622
589,38.8903753,-77.078279
590,38.8903701,-77.0782937
591,38.890359,-77.0783265
592,38.8903205,-77.0784398
593,38.8903099,-77.07847
594,38.8903013,-77.0784951
595,38.8902912,-77.0785228
596,38.8902745,-77.0785669
597,38.8902418,-77.0786511
598,38.890215,-77.0787201
