poi_id,osm_id,name,lat,lon,amenity,tourism,railway,public_transport,aeroway,shop,leisure,office,building,addr_street,addr_housenumber,addr_city,all_tags_json
2722,,,38.893291,-77.074095,,,,,,,,,house,16th Court North,1506,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1506"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Court North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2723,,,38.893085,-77.0743626,,,,,,,,,house,16th Road North,1513,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1513"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2724,,,38.89309,-77.0742977,,,,,,,,,house,16th Road North,1511,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1511"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2725,,,38.8930955,-77.0742272,,,,,,,,,house,16th Road North,1509,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1509"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2726,,,38.8931011,-77.0741556,,,,,,,,,house,16th Road North,1507,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1507"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2727,,,38.8931128,-77.0740087,,,,,,,,,house,16th Road North,1503,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1503"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""16th Road North"", ""building"": ""house"", ""building:levels"": ""3"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2728,,,38.8964529,-77.0765646,,,,,,,,,apartments,Key Boulevard,1537,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1537"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""Key Boulevard"", ""building"": ""apartments"", ""source"": ""esri_USDOT_Virgina""}"
2729,,,38.8964254,-77.0769977,,,,,,,,,apartments,Key Boulevard,1545,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1545"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""Key Boulevard"", ""building"": ""apartments"", ""source"": ""esri_USDOT_Virgina""}"
2730,,,38.8969007,-77.076312,,,,,,,,,house,North Ode Street,1834,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1834"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
2731,,,38.8968088,-77.0763005,,,,,,,,,house,North Ode Street,1830,Arlington,"{""addr:city"": ""Arlington"", ""addr:housenumber"": ""1830"", ""addr:postcode"": ""22209"", ""addr:state"": ""VA"", ""addr:street"": ""North Ode Street"", ""building"": ""house"", ""house"": ""terraced"", ""source"": ""esri_USDOT_Virgina""}"
